#{"t_start": 1758103160.906848, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,13.880642
-200.0,200,13.939689
-200.0,200,13.992868
-200.0,200,14.049641
-200.0,200,14.102845
-200.0,200,14.161206
-200.0,200,14.214354
-200.0,200,14.270853
-200.0,200,14.323835
-200.0,200,14.382889
-200.0,200,14.436186
-200.0,200,14.492828
-200.0,200,14.548057
-200.0,200,14.607864
-200.0,200,14.661462
-200.0,200,14.717846
-200.0,200,14.771162
-200.0,200,14.830305
-200.0,200,14.8838
-200.0,200,14.941131
-200.0,200,14.994379
-200.0,200,15.053421
-200.0,200,15.106618
-200.0,200,15.163563
-200.0,200,15.217341
-200.0,200,15.276237
-200.0,200,15.329713
-200.0,200,15.386681
-200.0,200,15.440752
-200.0,200,15.500204
-200.0,200,15.553759
-200.0,200,15.611221
-200.0,200,15.664813
-200.0,200,15.724273
-200.0,200,15.778054
-200.0,200,15.835418
-200.0,200,15.889031
-200.0,200,15.949649
-200.0,200,16.003581
-200.0,200,16.061134
-200.0,200,16.115551
-200.0,200,16.17532
-200.0,200,16.22968
-200.0,200,16.287344
-200.0,200,16.341288
-200.0,200,16.401045
-200.0,200,16.454984
-200.0,200,16.5125
-200.0,200,16.566009
-200.0,200,16.626349
-200.0,200,16.680336
-200.0,200,16.737637
-200.0,200,16.791915
-200.0,200,16.850926
-200.0,200,16.90486
-200.0,200,16.962543
-200.0,200,17.016364
-200.0,200,17.075949
-200.0,200,17.129864
-200.0,200,17.187123
-200.0,200,17.243405
-200.0,200,17.303341
-200.0,200,17.358708
-200.0,200,17.415759
-200.0,200,17.471903
-200.0,200,17.531973
-200.0,200,17.585909
-200.0,200,17.643628
-200.0,200,17.697344
-200.0,200,17.759296
-200.0,200,17.821147
-200.0,200,17.878936
-200.0,200,17.933131
-200.0,200,17.994027
-200.0,200,18.050291
-200.0,200,18.109819
-200.0,200,18.166072
-200.0,200,18.227227
-200.0,200,18.282236
-200.0,200,18.341016
-200.0,200,18.39613
-200.0,200,18.456285
-200.0,200,18.510825
-200.0,200,18.569231
-200.0,200,18.623952
-200.0,200,18.68571
-200.0,200,18.741622
-200.0,200,18.801692
-200.0,200,18.858085
-200.0,200,18.91861
-200.0,200,18.972633
-200.0,200,19.030315
-200.0,200,19.084241
-200.0,200,19.144097
-200.0,200,19.198225
-200.0,200,19.255475
-200.0,200,19.309111
-200.0,200,19.369763
-200.0,200,19.423325
-200.0,200,19.48038
-200.0,200,19.534407
-200.0,200,19.593859
-200.0,200,19.647966
-200.0,200,19.705537
-200.0,200,19.759297
-200.0,200,19.818823
-200.0,200,19.872863
-200.0,200,19.930018
-200.0,200,19.98377
-200.0,200,20.043501
-200.0,200,20.097821
-200.0,200,20.155283
-200.0,200,20.213758
-200.0,200,20.275411
-200.0,200,20.330617
-200.0,200,20.390226
-200.0,200,20.445645
-200.0,200,20.508249
-200.0,200,20.563181
-200.0,200,20.621492
-200.0,200,20.678292
-200.0,200,20.742448
